08107AA0  AbradeEquipments
081EA5B0  Achievement_Achieve
081EA2B0  Achievement_GetData
081EA440  Achievement_IsAchieved
081EA380  Achievement_IsRewarded
081EA500  Achievement_Reward
081EA660  Achievement_SetData
0810BE70  ActorQuit
0811C710  Add120SkillExp
08107F40  AddArenaCredits
0814E9C0  AddBotCode
08118FE0  AddBoxMoney
080FC160  AddBreakPoint
0811EB10  AddClothesItem
0811A850  AddContribution
08113F20  AddCumulateOffer
08119FC0  AddDex
081C1A10  AddDiceItemInfo
08107CF0  AddEnergy
0811A040  AddEng
0811DF90  AddEventItem
0811A140  AddExp
08106AE0  AddExpInMap
0810FBE0  AddExtPoint
0810FB20  AddExtPointForGS
081258E0  AddGlobalCountNews
08125A90  AddGlobalNews
081255F0  AddGlobalTimeNews
0811F210  AddGoldItem
08120D30  AddItem
08115050  AddItemByIndex
08120470  AddItemEx
081263E0  AddItemForAutoHang
08120D10  AddItemIntoEquipmentBox
08120CF0  AddItemNoStack
0810FF50  AddLeadExp
08125020  AddLoaclTimeNews
08125310  AddLocalCountNews
081254B0  AddLocalNews
08125020  AddLocalTimeNews
081366A0  AddMSPlayer
0812C430  AddMagic
0810FE50  AddMagicPoint
08102700  AddMapTrap
08108DE0  AddMaxResist
08129810  AddMoneyObj
08124DC0  AddNote
0811BB10  AddNpc
0811BF40  AddNpcEx
081260E0  AddNpcSkillState
081054A0  AddObstacleObj
081126C0  AddOwnExp
0811F1F0  AddPlatinaItem
0810C510  AddPlayerEvent
0810FD60  AddProp
08117640  AddPvPKilledNum
081206A0  AddQualityItem
08117290  AddRepute
081081A0  AddRespect
08122B00  AddShop2Stores
08129DC0  AddSkillExp
08126240  AddSkillState
08115700  AddSomeObj
0811FA10  AddStackItem
080FF550  AddStatData
0812D2B0  AddStation
08119F40  AddStrg
08120840  AddTempItem
0812C1B0  AddTempMagic
0812D110  AddTermini
08104360  AddTicket
08100D40  AddTimer
08105300  AddTongExp
0812DA20  AddTongMTask
0811ADD0  AddTongMoney
08113D70  AddTongWeek
081140D0  AddTotalOffer
0811DC90  AddVerGoldItem
081209C0  AddVerItem
08119EC0  AddVit
0811A700  AddWeekGoalOffer
08114280  AddWeeklyOffer
0812FCD0  AppendString
08126EC0  ApplyDelDungeonMap
08126F50  ApplyDungeonMap
081C1C40  ApplyItemDice
0812CD00  AppointChallenger
0812CDD0  AppointViceroy
0812DDE0  AroundFillString
08115CA0  AskClientForNumber
08115E90  AskClientForString
08113610  AskRelayForAuctionStatus
08113A30  AskRelayForKillerStatus
0810BFF0  AttachActor
08117F80  AttackNpc
0811DB60  AutoStackItem
081C6640  BT_BroadAllLadder
081C5DD0  BT_BroadBattleDesc
081C6580  BT_BroadGameData
081C64B0  BT_BroadGameDataToAll
081C65E0  BT_BroadSelf
081C6880  BT_BroadView
081C63F0  BT_ChangeMiniMap
081C6740  BT_ClearBattle
081C6050  BT_ClearPlayerData
081C5760  BT_GetBattleName
081C69B0  BT_GetBattleParam
081C67D0  BT_GetData
081C6230  BT_GetGameData
081C59D0  BT_GetLadderInfo
081C57C0  BT_GetTopTenInfo
081C58E0  BT_GetTypeBonus
081C62E0  BT_LeaveBattle
081C5CE0  BT_ReportResult
081C55D0  BT_SendLadderNo
081C52F0  BT_SendMemberCount
081C5F10  BT_SetBattleLevelDesc
081C5F80  BT_SetBattleName
081C68E0  BT_SetData
081C60E0  BT_SetGameData
081C5EA0  BT_SetMissionDesc
081C5E30  BT_SetMissionName
081C61A0  BT_SetRestTime
081C6340  BT_SetType2Task
081C5120  BT_SetTypeBonus
081C5220  BT_SetView
081C66A0  BT_SortLadder
081C5B60  BT_SortWorldLadder
081C6AE0  BT_UpdateMemberCount
081C5FF0  BT_ViewBattleStart
08127870  BindItem
0814E680  BotStopValidateClient
