name	va	args	gettop	player	pushes	returns	size
AbradeEquipments	08107AA0	1:number	1	1	number,number	1	349
Achievement_Achieve	081EA5B0	?:number	1	1	number	0	459
Achievement_GetData	081EA2B0	?:number	1	1	number	0	1227
Achievement_IsAchieved	081EA440	?:number	1	1	number	0	827
Achievement_IsRewarded	081EA380	?:number	1	1	number	0	1019
Achievement_Reward	081EA500	?:number	1	1	number	0	635
Achievement_SetData	081EA660	?:number	1	1		0	283
ActorQuit	0810BE70		1	1	number,number	1	133
Add120SkillExp	0811C710	1:number	1	1	number,number,number	1	194
AddArenaCredits	08107F40	1:number	1	1	number,number,number,number	1	357
AddBotCode	0814E9C0	1:string	1	0	number,number	1	122
AddBoxMoney	08118FE0	1:number	0	1		0	120
AddBreakPoint	080FC160		0	0			27
AddClothesItem	0811EB10	1:string 2:number	1	1	number,number,number,number,number,number,number	1	1787
AddContribution	0811A850	1:number 2:number	1	1	number,number,number,number	1	361
AddCumulateOffer	08113F20	1:number	1	1	number,number	1	154
AddDex	08119FC0	1:number	1	1		0	126
AddDiceItemInfo	081C1A10	1:number 2:number 3:number 4:number 5:number 6:number 7:number 8:number 9:number	1	0	number	1	560
AddEnergy	08107CF0	1:number	1	1	number,number,number,number	1	325
AddEng	0811A040	1:number	1	1		0	126
AddEventItem	0811DF90	1:number	1	1	number,number,number	1	582
AddExp	0811A140	1:string 2:string 3:number 4:string	1	1		0	882
AddExpInMap	08106AE0	1:number 2:number 3:number	1	0	number,table,number,nil,number,number,number	2	1661
AddExtPoint	0810FBE0	1:number 2:number	1	1	number	1	192
AddExtPointForGS	0810FB20	1:number 2:number	1	1	number	1	192
AddGlobalCountNews	081258E0	1:number 2:number	1	0	number,number,number,number,number	4	963
AddGlobalNews	08125A90	1:number	1	0	number,number,number,number,number	4	531
AddGlobalTimeNews	081255F0	1:number 2:number 3:number 4:number 5:number 6:number	1	0	number,number,number,number,number	4	1715
AddGoldItem	0811F210	1:string 2:number	1	1	number,number,number,number	1	27
AddItem	08120D30	1:number	1	1	number,number,number,number,number,number,number,number	1	739
AddItemByIndex	08115050	1:number	1	1	number	1	160
AddItemEx	08120470	1:string	1	1	number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number	1	2299
AddItemForAutoHang	081263E0		0	1	number,number,number,number	1	313
AddItemIntoEquipmentBox	08120D10	1:number	1	1	number,number,number,number,number,number,number,number	1	736
AddItemNoStack	08120CF0	1:number	1	1	number,number,number,number,number,number,number,number	1	736
AddLeadExp	0810FF50	1:number	1	1		0	118
AddLoaclTimeNews	08125020	1:string 2:number 3:number 4:number 5:number 6:number	1	0		0	2899
AddLocalCountNews	08125310	1:number 2:number 3:number 4:number 5:number 6:number	1	0	number,number,number,number,number	4	2451
AddLocalNews	081254B0	1:number 2:number 3:number 4:number 5:number 6:number	1	0	number,number,number,number,number	4	2035
AddLocalTimeNews	08125020	1:string 2:number 3:number 4:number 5:number 6:number	1	0		0	2899
AddMSPlayer	081366A0	1:number 2:number 3:number	1	1	number	1	3013
AddMagic	0812C430	1:number 2:number	1	1	string,number	1	2274
AddMagicPoint	0810FE50	1:number	1	1	number	1	248
AddMapTrap	08102700	1:number 2:number 3:number 4:number 5:number	1	0	number,number,number,nil	2	812
AddMaxResist	08108DE0	1:number 2:number 3:number 4:number	1	1	number,number,number	1	950
AddMoneyObj	08129810	1:number	1	1		0	850
AddNote	08124DC0	1:number 2:number	1	1		0	596
AddNpc	0811BB10	1:number 2:number 3:number 4:number 5:number 6:number 7:number 8:string 9:number	1	1	number,number,number,number	1	2187
AddNpcEx	0811BF40	1:number 2:number 3:number 4:number 5:number 6:number 7:number 8:string 9:number	1	1	number,number,number	1	1115
AddNpcSkillState	081260E0	1:number 2:number 3:number 4:number 5:number	1	1	number,number,number,number,number,number,number,number,number,number	1	1081
AddObstacleObj	081054A0	1:number 2:number 3:number 4:number	1	0		0	772
AddOwnExp	081126C0	1:number	1	1		0	129
AddPlatinaItem	0811F1F0	1:string 2:number	1	1	number,number,number,number	1	27
AddPlayerEvent	0810C510	1:number	1	1	number,number	1	202
AddProp	0810FD60	1:number	0	1	number	1	236
AddPvPKilledNum	08117640	1:number	1	1	number,number	1	216
AddQualityItem	081206A0	1:number	1	1	number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number	1	1875
AddRepute	08117290	1:number	1	1	number,number,number	1	936
AddRespect	081081A0	1:string 2:number 3:number 4:number 5:string 6:string 7:string	1	1	number,number,number,number,nil,number	1	996
AddShop2Stores	08122B00	1:number 2:string 3:number 4:number 5:string 6:number	1	1		0	505
AddSkillExp	08129DC0	1:number 2:number 3:number 4:number	1	1	number,number,number,number,number	1	886
AddSkillState	08126240	1:number 2:number 3:number 4:number 5:number	1	1	number,number,number,number,number,number,number	1	729
AddSomeObj	08115700	1:number	1	1		0	557
AddStackItem	0811FA10	1:string 2:number 3:number 4:number	1	1	number,number,number,number,number,number,number,number,number,number,number,number,number,number	1	2657
AddStatData	080FF550	1:number 2:number	1	0	number,number,string	1	1504
AddStation	0812D2B0	1:number	0	1		0	261
AddStrg	08119F40	1:number	1	1		0	126
AddTempItem	08120840	1:number	1	1	number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number	1	1459
AddTempMagic	0812C1B0	1:number 2:number	1	1	string,number	1	2386
AddTermini	0812D110	1:number	0	1		0	410
AddTicket	08104360	1:number 2:number	1	0	number,number	1	182
AddTimer	08100D40	1:string 2:string 3:number	1	0	number,number,number,number	1	430
AddTongExp	08105300	1:number 2:number 3:number 4:number	1	0		0	1188
AddTongMTask	0812DA20	1:number 2:string	1	1	number,number,number,number	1	1967
AddTongMoney	0811ADD0	1:string 2:number	1	1	string	1	413
AddTongWeek	08113D70	1:number	1	1	number,number	1	154
AddTotalOffer	081140D0	1:number	1	1	number,number	1	154
AddVerGoldItem	0811DC90	1:number 2:number 3:number 4:number	1	1	number,number,number,number,number,number,number	1	1350
AddVerItem	081209C0	1:number	1	1	number,number,number,number,number,number,number,number,number,number,number,number	1	1075
AddVit	08119EC0	1:number	1	1		0	126
AddWeekGoalOffer	0811A700	1:number	1	1	number,number	1	170
AddWeeklyOffer	08114280	1:number	1	1	number,number	1	154
AppendString	0812FCD0	1:string 2:string 3:string	1	1	number,number,number,number	1	1867
ApplyDelDungeonMap	08126EC0	1:number 2:number	1	0		0	135
ApplyDungeonMap	08126F50	1:number	1	0	number,number	1	139
ApplyItemDice	081C1C40	1:number 2:number 3:number 4:string 5:string 6:string 7:number	1	0	number	1	483
AppointChallenger	0812CD00	1:string 2:string	1	0		0	200
AppointViceroy	0812CDD0	1:number 2:string	1	1	number,number,number	1	1242
AroundFillString	0812DDE0	1:number 2:string	1	0		0	1007
AskClientForNumber	08115CA0	1:string 2:string 3:number 4:number 5:string ?:number	1	1	number,number,nil,number,number	1	1977
AskClientForString	08115E90	1:string 2:string 3:number 4:number 5:string ?:number	1	1	number,number,nil,number,number	1	1481
AskRelayForAuctionStatus	08113610	1:string	1	1	number,nil	1	282
AskRelayForKillerStatus	08113A30	1:string	1	1	number,nil	1	234
AttachActor	0810BFF0	1:string	1	1	number,number,number,number	1	306
AttackNpc	08117F80	1:number ?:number	1	1		0	579
AutoStackItem	0811DB60	1:number	0	1	number	1	158
BT_BroadAllLadder	081C6640		0	1		0	95
BT_BroadBattleDesc	081C5DD0		0	1		0	95
BT_BroadGameData	081C6580		0	1		0	95
BT_BroadGameDataToAll	081C64B0		0	0		0	202
BT_BroadSelf	081C65E0		0	1		0	95
BT_BroadView	081C6880		0	1		0	95
BT_ChangeMiniMap	081C63F0	1:number 2:string	1	1		0	191
BT_ClearBattle	081C6740		0	0		0	134
BT_ClearPlayerData	081C6050		0	1		0	130
BT_GetBattleName	081C5760		0	0	string,string	1	91
BT_GetBattleParam	081C69B0	1:number	0	0	string,string	1	913
BT_GetData	081C67D0	1:number	1	1	number	1	168
BT_GetGameData	081C6230	1:number	1	0	number	1	161
