08103DAF  AddStatData
08103290  AddTimer
08103AEB  AppointViceroy
081010A1  Battle_GetBattleMapInfo
08100E9A  Battle_GetMapPatternInfo
08100B61  Battle_GetRoundFlowInfo
08100C1F  Battle_GetRoundInfo
0810135C  Battle_GetRuleInfo
081016AA  Battle_StartNewRound
080FF5FA  CW_GetCityStatus
080FF6A2  CW_GetOccupant
080FF757  CheckLotteryState
08066BB5  CleanStatInfo
080FDB64  ClearRecordOnShareDB
080FD292  ConnectIdx2GameServerId
080FC593  DelGblInt
080FC602  DelGblStr
08103436  DelTimer
080FF4A6  DynamicExecute
080FF356  EndSignUp
080D94A5  File_Create
080FCB81  FormatTime2Number
080FCCCC  FormatTime2String
080FD323  GameServerId2ConnectIdx
08104148  GetBiaoChePos
080FC317  GetCityAreaName
080FC21E  GetCityOwner
080FC6F3  GetCurrentDate
080FC76E  GetCurrentTime
080FDF4C  GetCustomDataFromSDB
080FD1FB  GetDynamicMapSvrID
080FE364  GetFirstRecordFromSDB
08101FF1  GetGateWayClientID
080FC170  GetGblInt
080FC46A  GetGblStr
081040E1  GetHostPlayerCount
0806651D  GetIP
080FDE2E  GetIntegerFromSDB
08102018  GetProductLanguge
08102082  GetProductRegion
080FE7CB  GetRecordCount
080FE57A  GetRecordInfoFromNO
08066B24  GetStatInfo
080FDD01  GetStringFromSDB
080FC805  GetSysCurrentTime
08100A65  GetTaskCurCount
08101D75  GetTongIDByName
0815445C  GetTongLogData
08101CA5  GetTongNameByID
08103BEC  GetViceroy
0806609B  GlobalExecute
080FBF7C  IL
080FE1D1  Include
080FBF7C  IncludeLib
080D9297  IniFile_GetData
080D918B  IniFile_Load
080D9615  IniFile_Save
080D93A9  IniFile_SetData
080D9220  IniFile_UnLoad
080FD3B9  IsGameServerReady
080FD09E  IsMapOnGameSvr
0812BA6A  LGM_ApplyAddMember
0812BBAF  LGM_ApplyRemoveMember
0812B847  LGM_CreateMemberObj
0812B8A2  LGM_FreeMemberObj
0812B92D  LGM_SetMemberInfo
0812B024  LG_AddMemberToObj
0812B12A  LG_ApplyAddLeague
